pl_name,discoverymethod,disc_facility,pl_rade,pl_eqt,st_teff
"GJ 1214 b","Transit","MEarth Project",2.67800000,555.00,3026.00
"WASP-133 b","Transit","SuperWASP-South",14.18483905,1717.16,5646.00
"TOI-4010 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",3.02000000,1441.00,4960.00
"TOI-2384 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",11.48920522,889.70,3943.00
"K2-321 b","Transit","K2",1.95000000,701.00,3855.00
"HD 3167 b","Transit","K2",1.55700000,1860.00,5370.00
"HD 3167 c","Transit","K2",2.85000000,500.00,5370.00
"HAT-P-28 b","Transit","HATNet",13.58500000,1384.00,5680.00
"HD 3167 c","Transit","K2",2.86000000,531.00,5528.00
"TOI-1710 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",5.15000000,730.00,5730.00
"TOI-2427 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",1.99844000,783.00,4072.00
"KELT-23 A b","Transit","KELT-North",14.68800000,1348.00,5787.00
"Qatar-9 b","Transit","Qatar",13.36740000,1061.00,4234.00
"TOI-3894 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",15.22179579,1519.00,6000.00
"HD 3167 b","Transit","K2",1.57400000,1759.00,5286.00
"HD 3167 c","Transit","K2",2.74000000,548.00,5286.00
"COCONUTS-2 b","Imaging","NASA Infrared Telescope Facility (IRTF)",12.44196858,434.00,3406.00
"HD 3167 b","Transit","K2",1.62700000,1777.00,5300.00
"HD 3167 c","Transit","K2",2.92300000,565.00,5300.00
"HD 3167 b","Transit","K2",1.67000000,1774.00,5261.00
"Kepler-549 d","Transit","Kepler",3.65000000,565.00,5467.00
"Kepler-395 b","Transit","Kepler",0.78000000,450.00,3735.00
"Kepler-1515 b","Transit","Kepler",9.33000000,390.00,6517.00
"Kepler-703 b","Transit","Kepler",5.40000000,1027.00,5796.00
"Kepler-1471 b","Transit","Kepler",1.32000000,1153.00,5881.00
"Kepler-1644 b","Transit","Kepler",1.80000000,607.00,5722.00
"Kepler-325 d","Transit","Kepler",2.62000000,498.00,5445.00
"KOI-1257 b","Transit","Kepler",10.54000000,511.00,5520.00
"Kepler-82 e","Transit","Kepler",2.30000000,958.00,5700.00
"Kepler-1369 b","Transit","Kepler",2.90000000,660.00,5987.00
"Kepler-697 b","Transit","Kepler",3.96000000,1056.00,5576.00
"Kepler-1466 b","Transit","Kepler",1.38000000,585.00,6086.00
"Kepler-1889 b","Transit","Kepler",2.59000000,494.00,5641.00
